Year,Title,Length,Director,Genre,Country,Screenings,Admissions,Gross Box Office
2008,Os Seis Sinais Da Luz,LM,David L. Cunningham,"Fantasia, Aventura",US,2,24,"51,50"
2008,Os Simpsons: O Filme,LM,David Silverman,"Comédia, Aventura",US,6,30,"75,00"
2008,Os Sonhadores,LM,Bernardo Bertolucci,"Drama, Romance","FR, IT, GB",5,69,"224,00"
2008,Os Três Macacos,LM,Nuri Bilge Ceylan,Drama,"FR, IT, TR",73,1054,"4723,00"
2008,Os Verdes Anos,LM,Paulo Rocha,Drama,PT,1,12,"39,50"
2008,Ossudo,CM,Júlio Alves,Drama,PT,1,29,"0,00"
2008,Outro País,LM,Sérgio Tréfaut,Épico/Histórico,PT,1,15,"0,00"
2008,P.S. - Amo-te,LM,Dylan Kidd,"Romance, Comédia, Fantasia",US,25,632,"1889,35"
2008,P.S. I Love You,LM,Richard LaGravenese,"Drama, Romance",US,3577,86059,"364544,92"
2008,P2-Zona de Risco,LM,Franck Khalfoun,"Thriller, Policial, Terror",US,1168,11533,"47299,20"
2008,Padrinho... Mas Pouco,LM,Paul Weiland,"Romance, Comédia","US, GB",5792,117062,"498280,12"
2008,Para Além Do Paraíso,LM,Jim Jarmusch,"Drama, Comédia","US, DE",1,29,"48,00"
2008,"Para Sempre, Talvez",LM,Adam Brooks,"Drama, Romance, Comédia","US, FR, GB",3334,71855,"307158,40"
2008,Paranoid Park,LM,Gus Van Sant,"Drama, Thriller, Policial","US, FR",272,4320,"15219,65"
2008,Paris,LM,Cédric Klapisch,"Drama, Romance, Comédia",FR,1105,21295,"102638,56"
2008,Pedro o Louco,LM,Jean-Luc Godard,"Drama, Comédia, Policial","FR, IT",6,64,"231,90"
2008,Peixe-Lua,LM,José Álvaro Morais,Drama,PT,1,28,"0,00"
2008,Penelope,LM,Mark Palansky,"Romance, Comédia, Fantasia","US, GB",598,5592,"23685,59"
2008,Peões Em Jogo,LM,Robert Redford,"Drama, Thriller, Guerra",US,861,13692,"57349,00"
2008,Pequenas Flores Vermelhas,LM,Yuan Zhang,"Drama, Comédia","IT, CN",1,5,"8,00"
2008,Pequeno Grande Dave,LM,Brian Robbins,"Comédia, Aventura",US,3209,52372,"222827,08"
2008,Perímetro,CM,Miguel Seabra Lopes,Drama,PT,1,39,"117,00"
2008,Permanent Vacation,LM,Jim Jarmusch,Drama,US,1,33,"70,00"
